用例ID,优先级,模块,HTTP,路径,鉴权,关键入参,预期HTTP,预期业务code说明,预期结果摘要,预置与步骤摘要
TC-RPT-008,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 「资产流水查询请至少提供…之一」。,预置条件：无。操作步骤：asset-journal 不传 customerCode/idNo/fund/order/trade。
TC-RPT-009,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 「费用明细查询请至少提供…之一」。,预置条件：无。操作步骤：fee-details 无任一关键参数。
TC-RPT-010,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 返回报撤单 dispatch 列表。,预置条件：有 orderNo。操作步骤：GET .../report/dispatches?orderNo=。
TC-RPT-011,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 列表与订单筛选一致。,预置条件：有撤单数据。操作步骤：GET .../report/cancel-requests。
TC-RPT-012,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 分页与 module/biz 过滤正确。,预置条件：有日志。操作步骤：GET .../report/operation-logs。
TC-RPT-013,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 结果符合筛选。,预置条件：有数据。操作步骤：GET .../report/risk-events。
TC-RPT-014,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 「查询条件指向不一致的客户实体」。,预置条件：构造互斥证件与客户号（若可造）。操作步骤：组合查询。
TC-META-001,P1,元数据,GET,/api/operator/meta/dict-items,X-Operator-Token,dictCode,200/400,400 body code=400 或 items,1) 「dictCode 不能为空」。,预置条件：有效 X-Operator-Token。操作步骤：GET /api/operator/meta/dict-items 不传 dictCode 或空串。
TC-META-002,P1,元数据,GET,/api/operator/meta/dict-items,X-Operator-Token,dictCode,200/400,400 body code=400 或 items,1) 「登录已过期，请重新登录」。,预置条件：过期或伪造 token。操作步骤：GET /api/operator/meta/dict-items?dictCode=XXX。
TC-META-003,P1,元数据,GET,/api/operator/meta/dict-items,X-Operator-Token,dictCode,200/400,400 body code=400 或 items,1) 返回 items。2) 第二次可走 Redis 缓存（观察日志或耗时）。,预置条件：有效 token；md_dict 有数据。操作步骤：GET dict-items 两次。
TC-SEC-001,P2,安全,POST,/api/app/trade/orders,无,同 IP 高频,429 或 200,见断言,1) HTTP 429。2) body 含「请求过于频繁」。,预置条件：Redis 可用；financial.ratelimit.orders-per-minute-per-ip 调小如 5。操作步骤：同一 IP 快速 POST /api/app/trade/orders 超过阈值。
TC-SEC-002,P2,安全,POST,/api/app/trade/orders,无,同 IP 高频,429 或 200,见断言,1) 日志告警 fail-open。2) 请求不被 429 拦截。,预置条件：断开 Redis 或连接失败。操作步骤：超限 POST。
TC-SEC-003,P2,安全,POST,/api/app/trade/orders,无,同 IP 高频,429 或 200,见断言,1) 非 /api/app/trade/orders 与 /api/operator/trade/orders 不计入该计数器。,预置条件：Redis 正常。操作步骤：GET 行情或其它 POST 路径。
TC-DATA-001,P2,数据,混合,DB+API,视用例,造数,200,一致性,1) 使用 TradingFeeRuleService 默认费率；成交仍成功。,预置条件：md_commission_rule 无匹配行。操作步骤：下单买与卖成交。
TC-DATA-002,P2,数据,混合,DB+API,视用例,造数,200,一致性,1) 仅一笔成功；另一幂等或 DB 约束报错（记录实际表现）。,预置条件：双线程同 seq。操作步骤：并发提交。
TC-DATA-003,P2,数据,混合,DB+API,视用例,造数,200,一致性,1) 与服务器 LocalDate 一致。,预置条件：服务器时区已知。操作步骤：跨日下单 order_no/dispatch_no 日期前缀。
TC-E2E-001,P0,端到端,混合,多接口,全链路,脚本/人工,200,业务闭环,1) 每步状态正确。2) 最终数据一致。,预置条件：全套环境。操作步骤：按业务流程走通。
TC-E2E-002,P1,端到端,混合,多接口,全链路,脚本/人工,200,业务闭环,1) reply 来源可区分。2) 无孤儿 SENT。,预置条件：双进程同库。操作步骤：下单至 REPORTED 再撤单/成交。
TC-E2E-003,P1,端到端,混合,多接口,全链路,脚本/人工,200,业务闭环,1) trd_trade 生成；委托累计正确。,预置条件：已报委托。操作步骤：fill-reports 录入。
TC-E2E-004,P1,端到端,混合,多接口,全链路,脚本/人工,200,业务闭环,1) 取客户端 IP 正确。,预置条件：经 Gateway 转发 X-Forwarded-For。操作步骤：限流与审计日志若依赖 IP。
TC-NF-001,P2,非功能,-,-,-,压测/配置,-,指标,1) 记录 P95 与错误率基线。,预置条件：压测工具。操作步骤：对核心 GET 做轻量压测。
TC-NF-002,P2,非功能,-,-,-,压测/配置,-,指标,1) 明确超时或降级表现；无静默丢单。,预置条件：测试环境可调低 max pool。操作步骤：高并发下单。
TC-NF-003,P2,非功能,-,-,-,压测/配置,-,指标,1) 与 CorsConfig 一致。,预置条件：浏览器或 App。操作步骤：跨域与自定义头。
TC-METH-001,P0,方法论,-,多接口顺序,-,见 TC-METH-001,-,追溯一致,1) 每阶段数据在库中可追溯（申请、委托、dispatch、reply、成交、流水）。2) 不跳步导致状态不一致。,预置条件：联调/验收环境齐全。操作步骤：按「Android 真实请求 → 运营审核/代操/成交录入 → 系统自动清算与记账」顺序执行后续用例。
TC-OPEN-001,P0,开户,POST/GET,/api/app/open-account/* 与 /api/operator/* 审核,视接口,申请/审核/股东号/证件,200,客户与账户落库,1) cust_customer、acct_fund_account、acct_shareholder_account 生成且归属正确。2) cust_open_apply / cust_import_record / 审核日志可追溯。3) 若有模板持仓则 acct_position 与初始化流水符合模板。,预置条件：App 用户已注册；证件未占用。操作步骤：提交开户申请→运营接单→审核通过（合法股东号与市场）。
TC-OPEN-002,P1,开户,POST/GET,/api/app/open-account/* 与 /api/operator/* 审核,视接口,申请/审核/股东号/证件,200,客户与账户落库,1) 返回开户申请重复（与 TC-APP-008 一致）。2) 不产生重复客户主档。,预置条件：已存在 WAIT_AUDIT 或 APPROVED 同证件申请。操作步骤：再次提交同证件开户申请。
TC-OPEN-003,P1,开户,POST/GET,/api/app/open-account/* 与 /api/operator/* 审核,视接口,申请/审核/股东号/证件,200,客户与账户落库,1) 申请状态为拒绝终态。2) 未生成正式客户或回滚未提交数据（与实现一致）。3) 审计/操作日志可查询。,预置条件：审核中申请。操作步骤：运营拒绝并填写原因。
TC-OPEN-004,P1,开户,POST/GET,/api/app/open-account/* 与 /api/operator/* 审核,视接口,申请/审核/股东号/证件,200,客户与账户落库,1) 与 OperatorController 校验文案一致拒绝。2) 不产生错误股东账户。,预置条件：审核中。操作步骤：故意录入非法股东号或非法市场后尝试通过。
TC-OPEN-005,P1,开户,POST/GET,/api/app/open-account/* 与 /api/operator/* 审核,视接口,申请/审核/股东号/证件,200,客户与账户落库,1) acct_asset_journal 存在 INIT_CASH（或约定类型）。2) App /api/app/assets/overview 与资金户可用+冻结口径一致。,预置条件：审核通过已生成客户。操作步骤：查询 INIT_CASH 流水与资金户余额、资产总览接口。
TC-OPEN-006,P1,开户,POST/GET,/api/app/open-account/* 与 /api/operator/* 审核,视接口,申请/审核/股东号/证件,200,客户与账户落库,1) 成功行生成申请或客户；失败行有明确错误码/原因。2) 证件重复行被拦截。,预置条件：存在批量导入入口与样例文件。操作步骤：导入多条申请并核对幂等与错误行回写。
TC-TFLOW-001,P0,交易流程,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App/Operator,冻结与状态链,200,流水一致,1) trd_order、rpt_order_dispatch、（本地或远程）rpt_order_reply 完整。2) acct_fund_account 可用减少、冻结增加，与委托 frozen_cash 及资产流水一致。,预置条件：已开户；买入；资金充足。操作步骤：Android/App 通道 POST /api/app/trade/orders。
TC-TFLOW-002,P1,交易流程,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App/Operator,冻结与状态链,200,流水一致,1) source_type=OPERATOR。2) 报表 /api/operator/report/orders 可按 sourceType 过滤到该笔。,预置条件：运营 token 有效；客户与资金户匹配。操作步骤：POST /api/operator/trade/orders。
TC-TFLOW-003,P1,交易流程,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App/Operator,冻结与状态链,200,流水一致,1) acct_position available 减少、frozen 增加。2) 委托 frozen_qty 与持仓一致；流水或状态可核对。,预置条件：有足额可卖持仓。操作步骤：App 或柜台下卖单。
TC-TFLOW-004,P1,交易流程,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App/Operator,冻结与状态链,200,流水一致,1) 成功路径：INIT/SENT → REPORTED/ACCEPTED（与当前库字段语义一致）。2) 与 ANDROID 文档状态机描述一致。,预置条件：本地或远程 mock-exchange。操作步骤：下单后查 trd_order.order_status、dispatch_status 与 rpt_order_dispatch.dispatch_status。
TC-CFLOW-001,P1,撤单流程,POST,/api/app/trade/orders/{orderNo}/cancel 等,视通道,释放冻结,200,资产一致,1) 买单：冻结资金回可用；卖单：冻结数量回可用。2) 委托终态为撤单相关状态；流水或变更可核对。,预置条件：已报未成交委托。操作步骤：撤单成功。
TC-CFLOW-002,P1,撤单流程,POST,/api/app/trade/orders/{orderNo}/cancel 等,视通道,释放冻结,200,资产一致,1) 已成交部分不受影响。2) 释放的冻结资金/数量仅对应未成交部分。,预置条件：部成委托。操作步骤：对剩余可撤量发起撤单。
TC-CFLOW-003,P1,撤单流程,POST,/api/app/trade/orders/{orderNo}/cancel 等,视通道,释放冻结,200,资产一致,1) 幂等或明确拒绝文案。2) 资产不发生二次错误释放。,预置条件：已撤或不可撤状态。操作步骤：再次撤单或并发撤单。
TC-FFLOW-001,P1,成交流程,POST,/api/operator/trade/orders/{orderNo}/simulate-match|fill-reports,X-Operator-Token,全成/部成/幂等/费用,200,对账一致,1) trd_trade 与费用字段正确。2) trd_order 全成状态。3) 持仓与资金与 trd_trade、规则表一致。,预置条件：已报委托；operator 清算接口。操作步骤：一次填满剩余数量。
TC-FFLOW-002,P1,成交流程,POST,/api/operator/trade/orders/{orderNo}/simulate-match|fill-reports,X-Operator-Token,全成/部成/幂等/费用,200,对账一致,1) filled_qty、filled_amount、avg_fill_price 与两笔成交一致。2) 中间态为 PART_FILLED（与实现一致）。,预置条件：已报。操作步骤：分两次 simulate-match/fill-reports。
TC-FFLOW-003,P1,成交流程,POST,/api/operator/trade/orders/{orderNo}/simulate-match|fill-reports,X-Operator-Token,全成/部成/幂等/费用,200,对账一致,1) 第二次返回 idempotent。2) trd_trade 不重复插入；资金持仓无二次扣减。,预置条件：已成功一笔成交。操作步骤：相同幂等键再次提交。
TC-FFLOW-004,P1,成交流程,POST,/api/operator/trade/orders/{orderNo}/simulate-match|fill-reports,X-Operator-Token,全成/部成/幂等/费用,200,对账一致,1) 费用项与 trd_trade 中佣金/税费一致。2) 与清算逻辑使用同一规则源。,预置条件：有成交与费用规则。操作步骤：GET /api/operator/report/fee-details 带 orderNo/tradeNo。
TC-RISK-001,P1,风控,POST,/api/app/trade/orders 与 /api/app/trade/risk/precheck,无/App,硬软规则,200,拦截或 violations,1) 请求被拒绝，无新委托或冻结不发生。2) 若实现写入风险事件则可查，否则仅接口错误（记录实际产品行为）。,预置条件：见 TC-TRD-002～005、TC-TRD-001 等。操作步骤：App 下单或 trade/risk/precheck。
TC-RISK-002,P1,风控,POST,/api/app/trade/orders 与 /api/app/trade/risk/precheck,无/App,硬软规则,200,拦截或 violations,1) violations 与下单拒绝原因语义一致（手数、涨跌停、资金、持仓等）。,预置条件：同一组违规数据。操作步骤：先 precheck 再正式下单。
TC-RISK-003,P1,风控,POST,/api/app/trade/orders 与 /api/app/trade/risk/precheck,无/App,硬软规则,200,拦截或 violations,1) 429 或业务拒绝。2) 若有软规则则 risk_events 或通知可查询。,预置条件：见 TC-SEC-001；可选业务层「频繁撤单」规则（若有）。操作步骤：短时间大量撤单或下单。
TC-QRY-001,P1,查询权限,GET,/api/app/report/* 与 /api/operator/report/*,userId 或 Token,越权与组合查询,200,隔离正确,1) A 仅能看 A 的数据。2) 篡改 userId 为 B 时失败或仍解析不到 B（登录态/用户校验与实现一致）。,预置条件：用户 A、B 均已开户。操作步骤：用 A 的 userId 调 /api/app/report/*、/api/app/trade/orders、资产接口；尝试篡改 userId 为 B。
TC-QRY-002,P1,查询权限,GET,/api/app/report/* 与 /api/operator/report/*,userId 或 Token,越权与组合查询,200,隔离正确,1) 结果与 SQL 条件一致。2) dispatches 可串联委托报撤全流程。,预置条件：运营 token；库中有客户、委托、成交、流水。操作步骤：report/customers、orders、trades、asset-journal、dispatches、operation-logs 组合查询。
TC-QRY-003,P1,查询权限,GET,/api/app/report/* 与 /api/operator/report/*,userId 或 Token,越权与组合查询,200,隔离正确,1) 与 TC-RPT-008/009 一致的业务错误提示。,预置条件：无。操作步骤：不传定位键调用 asset-journal、fee-details。
TC-MEX-INT-001,P1,模拟所集成,POST/运维,/exchange/v1/order-accept 或补偿,Token/网络,并发、超时、宕机恢复、版本兼容,200/失败,见模板,1) 超时后接口报「模拟交易所不可用」或等价。2) 库中 SENT/INIT 与运维手册补偿步骤可执行。,预置条件：backend 配置 base-url；可人为延迟或断网。操作步骤：下单触发 order-accept；模拟超时/连接重置。
TC-MEX-INT-002,P1,模拟所集成,POST/运维,/exchange/v1/order-accept 或补偿,Token/网络,并发、超时、宕机恢复、版本兼容,200/失败,见模板,1) order_status、dispatch_status、reply_type 与文档一致。2) reply_payload 可含 MOCK_EXCHANGE 来源标记。,预置条件：远程受理成功。操作步骤：核对 trd_order、rpt_order_dispatch、rpt_order_reply 与接口返回。
TC-MEX-INT-003,P1,模拟所集成,POST/运维,/exchange/v1/order-accept 或补偿,Token/网络,并发、超时、宕机恢复、版本兼容,200/失败,见模板,1) 每笔均有独立 ORDER_ACCEPT。2) 无死锁；reply id 唯一。,预置条件：mock-exchange 与 DB 正常。操作步骤：多线程或多客户端同时下单不同 requestSeqNo。
TC-MEX-INT-004,P1,模拟所集成,POST/运维,/exchange/v1/order-accept 或补偿,Token/网络,并发、超时、宕机恢复、版本兼容,200/失败,见模板,1) 补偿后状态与正常下单一致。2) 无重复 ORDER_ACCEPT（幂等）。,预置条件：下单后 SENT 状态；mock-exchange 停机期间 backend 报错。操作步骤：启动 mock-exchange 后手工 POST order-accept 或运维脚本补受理。
TC-MEX-INT-005,P1,模拟所集成,POST/运维,/exchange/v1/order-accept 或补偿,Token/网络,并发、超时、宕机恢复、版本兼容,200/失败,见模板,1) 错误 Token 401。2) 成功路径 200。,预置条件：配置密钥；经 Gateway。操作步骤：带正确/错误 Token；校验 X-Forwarded-* 若需要。
TC-MEX-INT-006,P1,模拟所集成,POST/运维,/exchange/v1/order-accept 或补偿,Token/网络,并发、超时、宕机恢复、版本兼容,200/失败,见模板,1) 字段缺失或类型变更时有明确错误；双版本矩阵记录在案。,预置条件：升级一方 DDL。操作步骤：回归下单受理。
