测试功能点,子功能检查点,测试步骤,预期结果,执行状态,实际结果,作者或修改者,最后执行者,最后执行日期
TC-FFLOW-001,【成交】全成：费用、成交表、委托状态、持仓与资金一致,"预置条件：
1. 已报委托；operator 清算接口。

操作步骤：
1. 一次填满剩余数量。","1. trd_trade 与费用字段正确。
2. trd_order 全成状态。
3. 持仓与资金与 trd_trade、规则表一致。",,,测试设计,,
TC-FFLOW-002,【成交】部成：多次成交累计与均价,"预置条件：
1. 已报。

操作步骤：
1. 分两次 simulate-match/fill-reports。","1. filled_qty、filled_amount、avg_fill_price 与两笔成交一致。
2. 中间态为 PART_FILLED（与实现一致）。",,,测试设计,,
TC-FFLOW-003,【成交】重复成交回报（externalTradeNo / requestSeqNo 幂等）,"预置条件：
1. 已成功一笔成交。

操作步骤：
1. 相同幂等键再次提交。","1. 第二次返回 idempotent。
2. trd_trade 不重复插入；资金持仓无二次扣减。",,,测试设计,,
TC-FFLOW-004,【成交】费用明细与报表 fee-details 可对账,"预置条件：
1. 有成交与费用规则。

操作步骤：
1. GET /api/operator/report/fee-details 带 orderNo/tradeNo。","1. 费用项与 trd_trade 中佣金/税费一致。
2. 与清算逻辑使用同一规则源。",,,测试设计,,
TC-RISK-001,【风控】硬规则拦截（资金、持仓、涨跌停、手数）,"预置条件：
1. 见 TC-TRD-002～005、TC-TRD-001 等。

操作步骤：
1. App 下单或 trade/risk/precheck。","1. 请求被拒绝，无新委托或冻结不发生。
2. 若实现写入风险事件则可查，否则仅接口错误（记录实际产品行为）。",,,测试设计,,
TC-RISK-002,【风控】预检软提示与正式下单一致性,"预置条件：
1. 同一组违规数据。

操作步骤：
1. 先 precheck 再正式下单。",1. violations 与下单拒绝原因语义一致（手数、涨跌停、资金、持仓等）。,,,测试设计,,
TC-RISK-003,【风控】频繁操作（撤单/下单）与限流,"预置条件：
1. 见 TC-SEC-001；可选业务层「频繁撤单」规则（若有）。

操作步骤：
1. 短时间大量撤单或下单。","1. 429 或业务拒绝。
2. 若有软规则则 risk_events 或通知可查询。",,,测试设计,,
TC-QRY-001,【查询】App 端仅能查本人客户维度数据,"预置条件：
1. 用户 A、B 均已开户。

操作步骤：
1. 用 A 的 userId 调 /api/app/report/*、/api/app/trade/orders、资产接口；尝试篡改 userId 为 B。","1. A 仅能看 A 的数据。
2. 篡改 userId 为 B 时失败或仍解析不到 B（登录态/用户校验与实现一致）。",,,测试设计,,
TC-QRY-002,【查询】运营端多条件组合与全链路可查,"预置条件：
1. 运营 token；库中有客户、委托、成交、流水。

操作步骤：
1. report/customers、orders、trades、asset-journal、dispatches、operation-logs 组合查询。","1. 结果与 SQL 条件一致。
2. dispatches 可串联委托报撤全流程。",,,测试设计,,
TC-QRY-003,【查询】运营资产流水/费用查询缺参校验,"预置条件：
1. 无。

操作步骤：
1. 不传定位键调用 asset-journal、fee-details。",1. 与 TC-RPT-008/009 一致的业务错误提示。,,,测试设计,,
TC-MEX-INT-001,【模拟所集成】HTTP 连通与超时,"预置条件：
1. backend 配置 base-url；可人为延迟或断网。

操作步骤：
1. 下单触发 order-accept；模拟超时/连接重置。","1. 超时后接口报「模拟交易所不可用」或等价。
2. 库中 SENT/INIT 与运维手册补偿步骤可执行。",,,测试设计,,
TC-MEX-INT-002,【模拟所集成】同库写库后四表状态一致,"预置条件：
1. 远程受理成功。

操作步骤：
1. 核对 trd_order、rpt_order_dispatch、rpt_order_reply 与接口返回。","1. order_status、dispatch_status、reply_type 与文档一致。
2. reply_payload 可含 MOCK_EXCHANGE 来源标记。",,,测试设计,,
TC-MEX-INT-003,【模拟所集成】并发多笔报盘受理,"预置条件：
1. mock-exchange 与 DB 正常。

操作步骤：
1. 多线程或多客户端同时下单不同 requestSeqNo。","1. 每笔均有独立 ORDER_ACCEPT。
2. 无死锁；reply id 唯一。",,,测试设计,,
TC-MEX-INT-004,【模拟所集成】进程宕机后恢复与数据补偿,"预置条件：
1. 下单后 SENT 状态；mock-exchange 停机期间 backend 报错。

操作步骤：
1. 启动 mock-exchange 后手工 POST order-accept 或运维脚本补受理。","1. 补偿后状态与正常下单一致。
2. 无重复 ORDER_ACCEPT（幂等）。",,,测试设计,,
TC-MEX-INT-005,【模拟所集成】shared-secret 与网关转发头,"预置条件：
1. 配置密钥；经 Gateway。

操作步骤：
1. 带正确/错误 Token；校验 X-Forwarded-* 若需要。","1. 错误 Token 401。
2. 成功路径 200。",,,测试设计,,
TC-MEX-INT-006,【模拟所集成】backend 与 mock-exchange 版本/库表结构兼容,"预置条件：
1. 升级一方 DDL。

操作步骤：
1. 回归下单受理。",1. 字段缺失或类型变更时有明确错误；双版本矩阵记录在案。,,,测试设计,,
